"Manufacturer Name";"Product Code";"Model Number";"Product Name";"Retailer Product Code";"Category";"Product URL";"Image URL";"Stock";"Product Price";"Currency"
"PHILIPS";"8711500631770";"";"Tub fluorescent T8 Philips Master TL-D Super 80 18W, G13, lumina rece";"PS00398";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-18w-g13-lumina-rece";"http://etbm.ro/\content\images\thumbs\0013256_tub-fluorescent-t8-philips-master-tl-d-super-80-18w-g13-lumina-rece.jpeg";"1767";"5.87";"RON"
"PHILIPS";"8711500632074";"";"Tub fluorescent T8 Philips Master TL-D Super 80 36W, G13, lumina rece";"PS00399";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-36w-g13-lumina-rece";"http://etbm.ro/\content\images\thumbs\0013264_tub-fluorescent-t8-philips-master-tl-d-super-80-36w-g13-lumina-rece.jpeg";"6152";"7.12";"RON"
"PHILIPS";"8711500632258";"";"Tub fluorescent T8 Philips Master TL-D Super 80 58W, G13, lumina rece, 6500k";"PS00401";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-58w-g13-lumina-rece-6500k";"http://etbm.ro/\content\images\thumbs\0013298_tub-fluorescent-t8-philips-master-tl-d-super-80-58w-g13-lumina-rece-6500k.jpeg";"653";"8.40";"RON"
"PHILIPS";"8711500632104";"";"Tub fluorescent T8 Philips Master TL-D Super 80 58W, G13, lumina calda, 2700K";"PS00405";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-58w-g13-lumina-calda-2700k";"http://etbm.ro/\content\images\thumbs\0013299_tub-fluorescent-t8-philips-master-tl-d-super-80-58w-g13-lumina-calda-2700k.jpeg";"476";"8.40";"RON"
"PHILIPS";"8711500631718";"";"Tub fluorescent T8 Philips MST TL-D Super 80 18W, G13, lumina neutra";"PS00410";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-mst-tl-d-super-80-18w-g13-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013258_tub-fluorescent-t8-philips-mst-tl-d-super-80-18w-g13-lumina-neutra.jpeg";"3156";"5.87";"RON"
"PHILIPS";"8711500639462";"";"Tub fluorescent Philips Master TL5 HE 28W, G5, lumina calda";"PS00434";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-master-tl5-he-28w-g5-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013323_tub-fluorescent-philips-master-tl5-he-28w-g5-lumina-calda.jpeg";"1364";"9.32";"RON"
"PHILIPS";"8711500620866";"";"Bec economic 2 pini Philips MASTER PL-C 2P 13W, G24D-1, 8000 ore, lumina neutra";"PS00455";"PH SURSE";"http://etbm.ro/bec-economic-2-pini-philips-master-pl-c-2p-13w-g24d-1-8000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013413_bec-economic-2-pini-philips-master-pl-c-2p-13w-g24d-1-8000-ore-lumina-neutra.jpeg";"86";"13.16";"RON"
"PHILIPS";"8711500261014";"";"Bec economic 2 pini Philips MASTER PL-S 2P 11W, G23, 10000 ore, lumina calda";"PS00458";"PH SURSE";"http://etbm.ro/bec-economic-2-pini-philips-master-pl-s-2p-11w-g23-10000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013142_bec-economic-2-pini-philips-master-pl-s-2p-11w-g23-10000-ore-lumina-calda.jpeg";"161";"12.20";"RON"
"PHILIPS";"8711500261069";"";"Bec economic 2 pini Philips MASTER PL-S 2P 11W, G23, 10000 ore, lumina calda, 3000k";"PS00459";"PH SURSE";"http://etbm.ro/bec-economic-2-pini-philips-master-pl-s-2p-11w-g23-10000-ore-lumina-calda-3000k";"http://etbm.ro/\content\images\thumbs\0013146_bec-economic-2-pini-philips-master-pl-s-2p-11w-g23-10000-ore-lumina-calda-3000k.jpeg";"147";"12.20";"RON"
"PHILIPS";"8711500261090";"";"Bec economic 2 pini Philips MASTER PL-S 2P 11W, G23, 10000 ore, lumina neutra";"PS00460";"PH SURSE";"http://etbm.ro/bec-economic-2-pini-philips-master-pl-s-2p-11w-g23-10000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013150_bec-economic-2-pini-philips-master-pl-s-2p-11w-g23-10000-ore-lumina-neutra.jpeg";"20";"12.20";"RON"
